callsign,average delay
VTITL,-2.0714285714285716
VT-ISH,0.0
VTIFB,21.636363636363637
VT-JTA,0.0
VTIFQ,-12.714285714285715
VTIFZ,18.11111111111111
VTIGT,15.666666666666666
VTINZ,3.625
VTINU,8.642857142857142
VTITX,10.625
VTITU,0.0
VTIGH,122.92307692307692
VTIDN,9.055555555555555
VTITH,-3.0
VTIHG,-8.833333333333334
VTIDM,18.22222222222222
VTITT,28.57142857142857
VTIFL,-7.428571428571429
VTIDK,3.75
VTIFR,-4.2857142857142865
VTIFN,-3.875
VTIDT,-12.5
VTITW,-7.6923076923076925
VTITE,-0.8333333333333334
VTINR,-9.090909090909092
VT-JGG,0.0
VTIEY,-8.545454545454545
VTITY,-10.88888888888889
VTIFF,-113.92307692307692
VTITO,7.052631578947368
VTIDF,2.1875
VTIEE,-1.3333333333333333
VTIFC,30.1
VTIDI,-1.375
VTIHN,-0.6666666666666666
VTIDX,48.75
VTIEU,-10.6
VT-JTD,0.0
VT-WGH,0.0
A320 (LY-SPB,0.06666666666666667
A320 (LY-ONJ,7.433333333333334
VT-JBF,0.0
VTIEN,21.75
VTIFG,-168.44444444444443
VTIDO,-6.846153846153846
VTIET,24.454545454545453
VTIDP,-8.875
VTITQ,1.1666666666666667
VTIGY,-3.1666666666666665
VTITM,-8.8
VTITA,1.75
VTINT,2.25
VTITJ,4.875
VTITC,-1.5
VTIDC,-10.333333333333334
VT-EXH,0.0
VT-CID,49.25
VTIEX,-5.7
VTIHB,-14.1
VTIDG,-8.071428571428571
VT-TNB,0.0
VT-EHB,0.0
VTIHC,-5.25
VT-JFQ,0.0
VTIDZ,-8.9
A320 (LY-SPA,0.24401913875598086
VT-WGM,0.0
VTITR,12.529411764705882
VTIDW,-8.181818181818182
VT-SLO,0.0
VTITB,5.0
VTIDD,21.0
VT-ALO,0.0
VTIEB,0.6
VTINS,-2.6
VTITG,-4.333333333333333
VT-TTK,0.0
VTITN,20.6
VTITI,-4.25
VT-GOT,-4.0
VTITP,-6.111111111111112
VTITZ,5.846153846153846
VT-JFL,0.0
VTIDH,50.5
VT-JLF,0.0
VTIFI,-5.5
VTINX,-4.0
VTITK,11.375
VT-CCU,0.0
VTIDR,-11.0
VT-SCH,13.0
VTIEC,16.77777777777778
VTIFS,-14.95
VT-ALX,0.0
VT-JTK,0.0
VTIEQ,0.4
VTIFY,9.4
VTITF,9.444444444444445
VT-JFF,0.0
VT-SZJ,0.0
VTIEZ,1.1538461538461537
VT-JWR,0.0
VTIGW,-65.84615384615385
VT-EXT,41.0
VTIDB,9.333333333333334
VTIFW,61.0
VTITD,1.7692307692307694
VTIFM,-3.466666666666667
VTIHD,39.71428571428571
VT-ALM,0.0
VTIFO,13.5
VT-TTI,0.0
VTIEA,-60.523809523809526
VT-ALH,0.0
VT-JLJ,0.0
VT-GOL,0.0
VT-JBE,0.0
VT-SUX,0.0
VT-JLE,0.0
VT-IAH,3.5
VT-RSM,0.0
VTIGU,-3.8
VTIED,14.545454545454545
VTIAR,-21.333333333333332
VTITS,4.2
VT-WAI,0.0
VTINP,-8.5
VTIGK,-14.181818181818182
VTIFJ,-5.666666666666667
VTIDL,21.333333333333332
VTIGZ,9.0
VTIFP,-16.083333333333332
VTIDY,5.7142857142857135
VT-EXB,0.0
VT-KNB,0.0
VT-ANM,0.0
VT-ARC,0.0
VT-CPA,0.0
VT-HYD,7.0
VT-SLA,0.0
VT-AIZ,0.0
VT-NAA,0.0
VT-JBG,0.0
VT-GOJ,0.0
A320 (LYSPA,0.0
VT-JFX,0.0
VTIAY,1.25
VT-JBH,0.0
VT-GOO,-23.0
VT-JTE,0.0
VT-SLB,0.0
VT-PNQ,0.0
VT-AIX,0.0
VTIGX,-686.0
VT-JWW,0.0
VK,0.0
VTIEO,8.333333333333334
VTIEW,-4.0
VTIFK,-27.666666666666668
VTIFH,-3.0
VRL,0.0
VTIHJ,1.3333333333333333
VT-ANS,0.0
VT-JBU,0.0
VT-EXK,0.0
VTIHK,-14.0
VT-GOP,0.0
VT-TTC,0.0
VT-JFJ,0.0
VT-JFP,0.0
VT-WGC,0.0
VT-TTJ,0.0
VT-TTH,0.0
VT-TNE,0.0
VT-WGJ,0.0
VT-JBN,0.0
VT-BDM,0.0
VT-SPK,0.0
VQ,0.0
VT-SZL,0.0
VT-SCW,0.0
VT-BBD,0.0
VT-WGA,0.0
VT-JBM,0.0
VT-JSR,0.0
VT-JBK,0.0
VT-SGH,0.0
VT-PPN,-9.5
VT-TNJ,0.0
VT-ALR,0.0
VT-GHE,0.0
VT-GHC,0.0
VT-TTF,0.0
